2025-04-22 16:07:00 - INFO - [INFO] rank1 training examples: [1, 5, 9, 13] ... [319985, 319989, 319993, 319997]| example_nums:80000 | training_steps:20000

... [319984, 319988, 319992, 319996]| example_nums:80000 | training_steps:20000
2025-04-22 16:07:03 - INFO - Total parameters: 2485473280
2025-04-22 16:07:03 - INFO - Trainable parameters: 13844480
2025-04-22 16:07:03 - INFO - Embedding parameters: 525336576
2025-04-22 16:07:03 - INFO - non-Embedding parameters: 1960136704
2025-04-22 16:07:03 - INFO - Embedding parameters percentage: 21.14%
2025-04-22 16:07:03 - INFO - Trainable parameters percentage: 0.56%
2025-04-22 16:08:49 - INFO - {'run_time(hours)': 0.02913433074951172, 'total_steps': 20000, 'steps': 100.0, 'training_loss': {'ae_loss': 1.3359375, 'lm_loss': 2.359375}, 'learning_rate': 3.322333333333335e-05}
2025-04-22 17:03:39 - INFO - {'run_time(hours)': 0.9429617123471365, 'total_steps': 20000, 'steps': 2900.0, 'training_loss': {'ae_loss': 0.026123046875, 'lm_loss': 2.0}, 'learning_rate': 0.0001}
2025-04-22 17:05:36 - INFO - {'run_time(hours)': 0.975420521431499, 'total_steps': 20000, 'steps': 3000.0, 'training_loss': {'ae_loss': 0.062255859375, 'lm_loss': 3.046875}, 'learning_rate': 0.0001}
2025-04-22 17:07:33 - INFO - {'run_time(hours)': 1.0079758954710432, 'total_steps': 20000, 'steps': 3100.0, 'training_loss': {'ae_loss': 0.02685546875, 'lm_loss': 2.40625}, 'learning_rate': 0.0001}
2025-04-22 17:09:29 - INFO - {'run_time(hours)': 1.0401939112610288, 'total_steps': 20000, 'steps': 3200.0, 'training_loss': {'ae_loss': 0.08349609375, 'lm_loss': 4.59375}, 'learning_rate': 0.0001}
2025-04-22 17:11:25 - INFO - {'run_time(hours)': 1.072297498451339, 'total_steps': 20000, 'steps': 3300.0, 'training_loss': {'ae_loss': 0.059814453125, 'lm_loss': 2.796875}, 'learning_rate': 0.0001}
2025-04-22 17:13:23 - INFO - {'run_time(hours)': 1.1052108259995779, 'total_steps': 20000, 'steps': 3400.0, 'training_loss': {'ae_loss': 0.04931640625, 'lm_loss': 2.328125}, 'learning_rate': 0.0001}
2025-04-22 17:15:20 - INFO - {'run_time(hours)': 1.1378108734554715, 'total_steps': 20000, 'steps': 3500.0, 'training_loss': {'ae_loss': 0.036865234375, 'lm_loss': 0.75}, 'learning_rate': 0.0001}
2025-04-22 17:17:16 - INFO - {'run_time(hours)': 1.169891859955258, 'total_steps': 20000, 'steps': 3600.0, 'training_loss': {'ae_loss': 0.0888671875, 'lm_loss': 1.46875}, 'learning_rate': 0.0001}
2025-04-22 17:19:10 - INFO - {'run_time(hours)': 1.2016290097104179, 'total_steps': 20000, 'steps': 3700.0, 'training_loss': {'ae_loss': 0.040283203125, 'lm_loss': 2.90625}, 'learning_rate': 0.0001}
2025-04-22 17:21:09 - INFO - {'run_time(hours)': 1.2346408070458306, 'total_steps': 20000, 'steps': 3800.0, 'training_loss': {'ae_loss': 0.04638671875, 'lm_loss': 2.65625}, 'learning_rate': 0.0001}
2025-04-22 17:23:07 - INFO - {'run_time(hours)': 1.2674561432997387, 'total_steps': 20000, 'steps': 3900.0, 'training_loss': {'ae_loss': 0.0703125, 'lm_loss': 1.3515625}, 'learning_rate': 0.0001}
2025-04-22 17:25:03 - INFO - {'run_time(hours)': 1.2996300684743458, 'total_steps': 20000, 'steps': 4000.0, 'training_loss': {'ae_loss': 0.061279296875, 'lm_loss': 2.65625}, 'learning_rate': 0.0001}
2025-04-22 17:27:02 - INFO - {'run_time(hours)': 1.3325927823119694, 'total_steps': 20000, 'steps': 4100.0, 'training_loss': {'ae_loss': 0.034912109375, 'lm_loss': 3.046875}, 'learning_rate': 0.0001}
2025-04-22 17:28:59 - INFO - {'run_time(hours)': 1.365300699737337, 'total_steps': 20000, 'steps': 4200.0, 'training_loss': {'ae_loss': 0.07373046875, 'lm_loss': 1.0234375}, 'learning_rate': 0.0001}
2025-04-22 17:30:58 - INFO - {'run_time(hours)': 1.3981791416141722, 'total_steps': 20000, 'steps': 4300.0, 'training_loss': {'ae_loss': 0.1298828125, 'lm_loss': 1.8515625}, 'learning_rate': 0.0001}
2025-04-22 17:32:53 - INFO - {'run_time(hours)': 1.4302120689551037, 'total_steps': 20000, 'steps': 4400.0, 'training_loss': {'ae_loss': 0.00799560546875, 'lm_loss': 2.765625}, 'learning_rate': 0.0001}
2025-04-22 17:34:49 - INFO - {'run_time(hours)': 1.4623112725549274, 'total_steps': 20000, 'steps': 4500.0, 'training_loss': {'ae_loss': 0.11767578125, 'lm_loss': 2.1875}, 'learning_rate': 0.0001}
2025-04-22 17:36:44 - INFO - {'run_time(hours)': 1.4944994238350127, 'total_steps': 20000, 'steps': 4600.0, 'training_loss': {'ae_loss': 0.029541015625, 'lm_loss': 1.875}, 'learning_rate': 0.0001}
2025-04-22 17:38:42 - INFO - {'run_time(hours)': 1.5271317419740889, 'total_steps': 20000, 'steps': 4700.0, 'training_loss': {'ae_loss': 0.095703125, 'lm_loss': 3.015625}, 'learning_rate': 0.0001}
2025-04-22 17:40:38 - INFO - {'run_time(hours)': 1.5594178769985836, 'total_steps': 20000, 'steps': 4800.0, 'training_loss': {'ae_loss': 0.0181884765625, 'lm_loss': 2.515625}, 'learning_rate': 0.0001}
2025-04-22 17:42:31 - INFO - {'run_time(hours)': 1.5906340690453846, 'total_steps': 20000, 'steps': 4900.0, 'training_loss': {'ae_loss': 0.034423828125, 'lm_loss': 2.625}, 'learning_rate': 0.0001}
2025-04-22 17:44:24 - INFO - {'run_time(hours)': 1.6220685821109349, 'total_steps': 20000, 'steps': 5000.0, 'training_loss': {'ae_loss': 0.016357421875, 'lm_loss': 2.4375}, 'learning_rate': 0.0001}
2025-04-22 17:46:18 - INFO - {'run_time(hours)': 1.653862999147839, 'total_steps': 20000, 'steps': 5100.0, 'training_loss': {'ae_loss': 0.019287109375, 'lm_loss': 3.203125}, 'learning_rate': 0.0001}
2025-04-22 17:48:19 - INFO - {'run_time(hours)': 1.6874099078443314, 'total_steps': 20000, 'steps': 5200.0, 'training_loss': {'ae_loss': 0.0888671875, 'lm_loss': 1.6015625}, 'learning_rate': 0.0001}
2025-04-22 17:50:15 - INFO - {'run_time(hours)': 1.7197609459691579, 'total_steps': 20000, 'steps': 5300.0, 'training_loss': {'ae_loss': 0.062255859375, 'lm_loss': 0.90234375}, 'learning_rate': 0.0001}
2025-04-22 17:52:14 - INFO - {'run_time(hours)': 1.7527392735746172, 'total_steps': 20000, 'steps': 5400.0, 'training_loss': {'ae_loss': 0.06787109375, 'lm_loss': 0.7578125}, 'learning_rate': 0.0001}
2025-04-22 17:54:11 - INFO - {'run_time(hours)': 1.7853030123975542, 'total_steps': 20000, 'steps': 5500.0, 'training_loss': {'ae_loss': 0.01470947265625, 'lm_loss': 2.140625}, 'learning_rate': 0.0001}
2025-04-22 17:56:06 - INFO - {'run_time(hours)': 1.817095417579015, 'total_steps': 20000, 'steps': 5600.0, 'training_loss': {'ae_loss': 0.0247802734375, 'lm_loss': 1.65625}, 'learning_rate': 0.0001}
2025-04-22 17:58:00 - INFO - {'run_time(hours)': 1.848716604510943, 'total_steps': 20000, 'steps': 5700.0, 'training_loss': {'ae_loss': 0.033203125, 'lm_loss': 2.3125}, 'learning_rate': 0.0001}
2025-04-22 17:59:57 - INFO - {'run_time(hours)': 1.8813106934229533, 'total_steps': 20000, 'steps': 5800.0, 'training_loss': {'ae_loss': 0.0361328125, 'lm_loss': 2.96875}, 'learning_rate': 0.0001}
2025-04-22 18:01:52 - INFO - {'run_time(hours)': 1.9132221000724368, 'total_steps': 20000, 'steps': 5900.0, 'training_loss': {'ae_loss': 0.04248046875, 'lm_loss': 2.90625}, 'learning_rate': 0.0001}
2025-04-22 18:03:47 - INFO - {'run_time(hours)': 1.9452257371611066, 'total_steps': 20000, 'steps': 6000.0, 'training_loss': {'ae_loss': 0.025390625, 'lm_loss': 2.375}, 'learning_rate': 0.0001}
2025-04-22 18:05:42 - INFO - {'run_time(hours)': 1.9772510463661617, 'total_steps': 20000, 'steps': 6100.0, 'training_loss': {'ae_loss': 0.022216796875, 'lm_loss': 2.125}, 'learning_rate': 0.0001}
2025-04-22 18:07:39 - INFO - {'run_time(hours)': 2.009506215254466, 'total_steps': 20000, 'steps': 6200.0, 'training_loss': {'ae_loss': 0.03564453125, 'lm_loss': 3.65625}, 'learning_rate': 0.0001}
2025-04-22 18:09:34 - INFO - {'run_time(hours)': 2.04166025698185, 'total_steps': 20000, 'steps': 6300.0, 'training_loss': {'ae_loss': 0.07177734375, 'lm_loss': 2.140625}, 'learning_rate': 0.0001}
2025-04-22 18:11:34 - INFO - {'run_time(hours)': 2.074886332021819, 'total_steps': 20000, 'steps': 6400.0, 'training_loss': {'ae_loss': 0.00994873046875, 'lm_loss': 2.78125}, 'learning_rate': 0.0001}
2025-04-22 18:13:34 - INFO - {'run_time(hours)': 2.1081515189674165, 'total_steps': 20000, 'steps': 6500.0, 'training_loss': {'ae_loss': 0.038818359375, 'lm_loss': 2.734375}, 'learning_rate': 0.0001}
2025-04-22 18:15:34 - INFO - {'run_time(hours)': 2.1416070165899064, 'total_steps': 20000, 'steps': 6600.0, 'training_loss': {'ae_loss': 0.0238037109375, 'lm_loss': 3.0}, 'learning_rate': 0.0001}
2025-04-22 18:17:32 - INFO - {'run_time(hours)': 2.174351693789164, 'total_steps': 20000, 'steps': 6700.0, 'training_loss': {'ae_loss': 0.0107421875, 'lm_loss': 2.828125}, 'learning_rate': 0.0001}
2025-04-22 18:19:27 - INFO - {'run_time(hours)': 2.2064201152324676, 'total_steps': 20000, 'steps': 6800.0, 'training_loss': {'ae_loss': 0.024658203125, 'lm_loss': 2.953125}, 'learning_rate': 0.0001}
2025-04-22 18:21:22 - INFO - {'run_time(hours)': 2.2381353366374968, 'total_steps': 20000, 'steps': 6900.0, 'training_loss': {'ae_loss': 0.019775390625, 'lm_loss': 2.28125}, 'learning_rate': 0.0001}
2025-04-22 18:23:16 - INFO - {'run_time(hours)': 2.2699213829967713, 'total_steps': 20000, 'steps': 7000.0, 'training_loss': {'ae_loss': 0.06640625, 'lm_loss': 1.3828125}, 'learning_rate': 0.0001}
2025-04-22 18:25:08 - INFO - {'run_time(hours)': 2.3009318106042014, 'total_steps': 20000, 'steps': 7100.0, 'training_loss': {'ae_loss': 0.03955078125, 'lm_loss': 2.75}, 'learning_rate': 0.0001}
2025-04-22 18:27:00 - INFO - {'run_time(hours)': 2.3321328467792934, 'total_steps': 20000, 'steps': 7200.0, 'training_loss': {'ae_loss': 0.032470703125, 'lm_loss': 3.34375}, 'learning_rate': 0.0001}
2025-04-22 18:28:54 - INFO - {'run_time(hours)': 2.363834400508139, 'total_steps': 20000, 'steps': 7300.0, 'training_loss': {'ae_loss': 0.0111083984375, 'lm_loss': 2.953125}, 'learning_rate': 0.0001}
2025-04-22 18:30:56 - INFO - {'run_time(hours)': 2.3976044838958317, 'total_steps': 20000, 'steps': 7400.0, 'training_loss': {'ae_loss': 0.02587890625, 'lm_loss': 2.640625}, 'learning_rate': 0.0001}
2025-04-22 18:32:52 - INFO - {'run_time(hours)': 2.429846650560697, 'total_steps': 20000, 'steps': 7500.0, 'training_loss': {'ae_loss': 0.0098876953125, 'lm_loss': 2.34375}, 'learning_rate': 0.0001}
2025-04-22 18:34:50 - INFO - {'run_time(hours)': 2.462723811202579, 'total_steps': 20000, 'steps': 7600.0, 'training_loss': {'ae_loss': 0.0145263671875, 'lm_loss': 2.703125}, 'learning_rate': 0.0001}
2025-04-22 18:36:45 - INFO - {'run_time(hours)': 2.494698898990949, 'total_steps': 20000, 'steps': 7700.0, 'training_loss': {'ae_loss': 0.03515625, 'lm_loss': 2.453125}, 'learning_rate': 0.0001}
2025-04-22 18:38:41 - INFO - {'run_time(hours)': 2.526742871536149, 'total_steps': 20000, 'steps': 7800.0, 'training_loss': {'ae_loss': 0.0294189453125, 'lm_loss': 2.78125}, 'learning_rate': 0.0001}
2025-04-22 18:40:36 - INFO - {'run_time(hours)': 2.558802202939987, 'total_steps': 20000, 'steps': 7900.0, 'training_loss': {'ae_loss': 0.03564453125, 'lm_loss': 3.09375}, 'learning_rate': 0.0001}
2025-04-22 18:42:32 - INFO - {'run_time(hours)': 2.590924935407109, 'total_steps': 20000, 'steps': 8000.0, 'training_loss': {'ae_loss': 0.0361328125, 'lm_loss': 1.75}, 'learning_rate': 0.0001}
2025-04-22 18:44:30 - INFO - {'run_time(hours)': 2.6237542035182315, 'total_steps': 20000, 'steps': 8100.0, 'training_loss': {'ae_loss': 0.1083984375, 'lm_loss': 1.6171875}, 'learning_rate': 0.0001}
2025-04-22 18:46:23 - INFO - {'run_time(hours)': 2.655204960041576, 'total_steps': 20000, 'steps': 8200.0, 'training_loss': {'ae_loss': 0.01519775390625, 'lm_loss': 2.671875}, 'learning_rate': 0.0001}
2025-04-22 18:48:21 - INFO - {'run_time(hours)': 2.688075419134564, 'total_steps': 20000, 'steps': 8300.0, 'training_loss': {'ae_loss': 0.0181884765625, 'lm_loss': 2.078125}, 'learning_rate': 0.0001}
2025-04-22 18:50:19 - INFO - {'run_time(hours)': 2.7207445465193856, 'total_steps': 20000, 'steps': 8400.0, 'training_loss': {'ae_loss': 0.02685546875, 'lm_loss': 3.109375}, 'learning_rate': 0.0001}
2025-04-22 18:52:16 - INFO - {'run_time(hours)': 2.7533255252573223, 'total_steps': 20000, 'steps': 8500.0, 'training_loss': {'ae_loss': 0.02001953125, 'lm_loss': 2.265625}, 'learning_rate': 0.0001}
2025-04-22 18:54:17 - INFO - {'run_time(hours)': 2.7869142451551228, 'total_steps': 20000, 'steps': 8600.0, 'training_loss': {'ae_loss': 0.0213623046875, 'lm_loss': 2.8125}, 'learning_rate': 0.0001}
2025-04-22 18:56:16 - INFO - {'run_time(hours)': 2.8199684736463757, 'total_steps': 20000, 'steps': 8700.0, 'training_loss': {'ae_loss': 0.023681640625, 'lm_loss': 2.21875}, 'learning_rate': 0.0001}
2025-04-22 18:58:16 - INFO - {'run_time(hours)': 2.8531688890854516, 'total_steps': 20000, 'steps': 8800.0, 'training_loss': {'ae_loss': 0.0133056640625, 'lm_loss': 1.703125}, 'learning_rate': 0.0001}
2025-04-22 19:00:14 - INFO - {'run_time(hours)': 2.8860920582214993, 'total_steps': 20000, 'steps': 8900.0, 'training_loss': {'ae_loss': 0.01104736328125, 'lm_loss': 2.640625}, 'learning_rate': 0.0001}
2025-04-22 19:02:12 - INFO - {'run_time(hours)': 2.918689101272159, 'total_steps': 20000, 'steps': 9000.0, 'training_loss': {'ae_loss': 0.032470703125, 'lm_loss': 3.046875}, 'learning_rate': 0.0001}
2025-04-22 19:04:07 - INFO - {'run_time(hours)': 2.950826073884964, 'total_steps': 20000, 'steps': 9100.0, 'training_loss': {'ae_loss': 0.0067138671875, 'lm_loss': 2.96875}, 'learning_rate': 0.0001}
2025-04-22 19:06:05 - INFO - {'run_time(hours)': 2.983454211552938, 'total_steps': 20000, 'steps': 9200.0, 'training_loss': {'ae_loss': 0.0211181640625, 'lm_loss': 2.53125}, 'learning_rate': 0.0001}
2025-04-22 19:08:02 - INFO - {'run_time(hours)': 3.0159015323056115, 'total_steps': 20000, 'steps': 9300.0, 'training_loss': {'ae_loss': 0.0281982421875, 'lm_loss': 2.125}, 'learning_rate': 0.0001}
2025-04-22 19:09:59 - INFO - {'run_time(hours)': 3.0484447785880833, 'total_steps': 20000, 'steps': 9400.0, 'training_loss': {'ae_loss': 0.0223388671875, 'lm_loss': 2.40625}, 'learning_rate': 0.0001}
2025-04-22 19:11:56 - INFO - {'run_time(hours)': 3.0809909807973437, 'total_steps': 20000, 'steps': 9500.0, 'training_loss': {'ae_loss': 0.03955078125, 'lm_loss': 1.375}, 'learning_rate': 0.0001}
2025-04-22 19:13:55 - INFO - {'run_time(hours)': 3.114089743163851, 'total_steps': 20000, 'steps': 9600.0, 'training_loss': {'ae_loss': 0.02587890625, 'lm_loss': 2.375}, 'learning_rate': 0.0001}
2025-04-22 19:15:50 - INFO - {'run_time(hours)': 3.1461346715688707, 'total_steps': 20000, 'steps': 9700.0, 'training_loss': {'ae_loss': 0.0123291015625, 'lm_loss': 2.890625}, 'learning_rate': 0.0001}
2025-04-22 19:17:46 - INFO - {'run_time(hours)': 3.1783508468998805, 'total_steps': 20000, 'steps': 9800.0, 'training_loss': {'ae_loss': 0.0205078125, 'lm_loss': 2.375}, 'learning_rate': 0.0001}
2025-04-22 19:19:48 - INFO - {'run_time(hours)': 3.212084799673822, 'total_steps': 20000, 'steps': 9900.0, 'training_loss': {'ae_loss': 0.0234375, 'lm_loss': 2.4375}, 'learning_rate': 0.0001}
2025-04-22 19:21:50 - INFO - {'run_time(hours)': 3.245919298926989, 'total_steps': 20000, 'steps': 10000.0, 'training_loss': {'ae_loss': 0.005706787109375, 'lm_loss': 2.03125}, 'learning_rate': 0.0001}
2025-04-22 19:23:52 - INFO - {'run_time(hours)': 3.279864280819893, 'total_steps': 20000, 'steps': 10100.0, 'training_loss': {'ae_loss': 0.07958984375, 'lm_loss': 2.328125}, 'learning_rate': 0.0001}
2025-04-22 19:25:54 - INFO - {'run_time(hours)': 3.313703645600213, 'total_steps': 20000, 'steps': 10200.0, 'training_loss': {'ae_loss': 0.035888671875, 'lm_loss': 2.390625}, 'learning_rate': 0.0001}
2025-04-22 19:27:48 - INFO - {'run_time(hours)': 3.3455611921019024, 'total_steps': 20000, 'steps': 10300.0, 'training_loss': {'ae_loss': 0.0260009765625, 'lm_loss': 1.9921875}, 'learning_rate': 0.0001}
2025-04-22 19:29:45 - INFO - {'run_time(hours)': 3.3778716603252623, 'total_steps': 20000, 'steps': 10400.0, 'training_loss': {'ae_loss': 0.033935546875, 'lm_loss': 2.671875}, 'learning_rate': 0.0001}
2025-04-22 19:31:40 - INFO - {'run_time(hours)': 3.4100211071305804, 'total_steps': 20000, 'steps': 10500.0, 'training_loss': {'ae_loss': 0.006988525390625, 'lm_loss': 2.296875}, 'learning_rate': 0.0001}
2025-04-22 19:33:40 - INFO - {'run_time(hours)': 3.4431406026416354, 'total_steps': 20000, 'steps': 10600.0, 'training_loss': {'ae_loss': 0.007354736328125, 'lm_loss': 2.953125}, 'learning_rate': 0.0001}
2025-04-22 19:35:37 - INFO - {'run_time(hours)': 3.475684055156178, 'total_steps': 20000, 'steps': 10700.0, 'training_loss': {'ae_loss': 0.0126953125, 'lm_loss': 2.578125}, 'learning_rate': 0.0001}
2025-04-22 19:37:36 - INFO - {'run_time(hours)': 3.5089341079526477, 'total_steps': 20000, 'steps': 10800.0, 'training_loss': {'ae_loss': 0.0201416015625, 'lm_loss': 3.0625}, 'learning_rate': 0.0001}
2025-04-22 19:39:30 - INFO - {'run_time(hours)': 3.5403937486807506, 'total_steps': 20000, 'steps': 10900.0, 'training_loss': {'ae_loss': 0.00836181640625, 'lm_loss': 2.453125}, 'learning_rate': 0.0001}
2025-04-22 19:41:25 - INFO - {'run_time(hours)': 3.5723908725049762, 'total_steps': 20000, 'steps': 11000.0, 'training_loss': {'ae_loss': 0.034912109375, 'lm_loss': 2.09375}, 'learning_rate': 0.0001}
2025-04-22 19:43:19 - INFO - {'run_time(hours)': 3.604111721979247, 'total_steps': 20000, 'steps': 11100.0, 'training_loss': {'ae_loss': 0.01531982421875, 'lm_loss': 1.921875}, 'learning_rate': 0.0001}
2025-04-22 19:45:13 - INFO - {'run_time(hours)': 3.635725048250622, 'total_steps': 20000, 'steps': 11200.0, 'training_loss': {'ae_loss': 0.0296630859375, 'lm_loss': 3.375}, 'learning_rate': 0.0001}
2025-04-22 19:47:10 - INFO - {'run_time(hours)': 3.668256533940633, 'total_steps': 20000, 'steps': 11300.0, 'training_loss': {'ae_loss': 0.007293701171875, 'lm_loss': 2.890625}, 'learning_rate': 0.0001}
2025-04-22 19:49:10 - INFO - {'run_time(hours)': 3.7015933240122267, 'total_steps': 20000, 'steps': 11400.0, 'training_loss': {'ae_loss': 0.01336669921875, 'lm_loss': 2.875}, 'learning_rate': 0.0001}
2025-04-22 19:51:11 - INFO - {'run_time(hours)': 3.735180830558141, 'total_steps': 20000, 'steps': 11500.0, 'training_loss': {'ae_loss': 0.010498046875, 'lm_loss': 2.640625}, 'learning_rate': 0.0001}
2025-04-22 19:53:08 - INFO - {'run_time(hours)': 3.7675783244106507, 'total_steps': 20000, 'steps': 11600.0, 'training_loss': {'ae_loss': 0.0291748046875, 'lm_loss': 0.9296875}, 'learning_rate': 0.0001}
2025-04-22 19:55:04 - INFO - {'run_time(hours)': 3.799843761920929, 'total_steps': 20000, 'steps': 11700.0, 'training_loss': {'ae_loss': 0.01263427734375, 'lm_loss': 3.46875}, 'learning_rate': 0.0001}
